,digit_BALANCE,digit_PURCHASES,digit_ONEOFF_PURCHASES,digit_INSTALLMENTS_PURCHASES,digit_CASH_ADVANCE,digit_PURCHASES_FREQUENCY,digit_ONEOFF_PURCHASES_FREQUENCY,digit_PURCHASES_INSTALLMENTS_FREQUENCY,digit_CASH_ADVANCE_TRX,digit_CREDIT_LIMIT,digit_PAYMENTS,digit_MINIMUM_PAYMENTS,digit_PRC_FULL_PAYMENT,digit_sqrt_BALANCE_FREQUENCY,digit_sqrt_CASH_ADVANCE_FREQUENCY,digit_sqrt_PURCHASES_TRX,digit_avg_oneoff_purchases,digit_avg_installment_purchases,digit_avg_cash_advance,TENURE
36,4,1,1,1,2,1,1,1,1,3,1,1,1,8,4,1,1,1,1,11
37,2,1,1,1,1,7,5,7,1,2,1,1,1,8,3,3,1,1,1,12
38,3,1,1,1,1,1,1,1,1,3,1,1,1,8,3,1,1,1,1,12
39,1,1,1,1,2,1,1,1,1,2,4,1,3,6,3,2,1,1,1,12
40,1,1,1,1,1,1,1,1,1,1,1,1,2,7,3,1,1,1,1,12
41,1,1,1,1,1,5,4,3,1,1,1,1,1,8,3,3,1,1,1,12
42,2,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,12
43,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
44,3,1,1,1,1,8,3,8,1,3,1,1,1,8,1,2,1,1,1,12
45,1,1,1,1,1,3,1,3,1,1,1,1,1,8,2,1,1,1,1,12
46,1,1,1,1,1,4,1,3,1,1,1,1,1,6,2,1,1,1,1,8
47,2,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
48,1,1,1,1,1,8,6,8,1,1,1,1,8,8,1,4,1,1,1,12
49,1,1,1,1,1,2,2,1,1,2,1,1,1,8,2,1,1,1,1,12
50,3,1,1,1,2,6,4,3,3,4,2,1,1,8,4,2,1,1,1,8
51,1,1,1,1,1,6,5,5,1,1,1,1,1,8,1,2,1,1,1,12
52,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
53,1,1,1,1,1,6,6,1,1,1,1,1,2,8,2,2,1,1,2,9
54,1,1,1,1,1,6,1,6,1,1,1,1,1,7,1,2,1,1,1,12
55,1,1,1,1,1,3,3,1,1,2,1,1,1,8,1,2,1,1,1,12
56,2,1,1,1,1,3,3,1,1,2,1,1,1,8,3,1,1,1,1,12
57,2,1,1,1,1,8,8,5,1,2,1,1,1,8,1,3,1,1,1,12
58,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,11
59,3,1,1,1,1,4,1,3,1,2,1,1,1,8,3,2,1,1,1,12
60,1,1,1,1,1,2,2,1,1,2,1,1,1,7,1,1,1,1,1,12
61,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
62,1,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,11
63,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,12
64,1,1,1,1,1,8,1,8,1,1,1,1,1,8,2,4,1,1,1,12
65,1,1,1,1,1,5,3,2,1,1,1,1,1,8,1,2,1,1,1,12
66,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,8
67,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
68,2,1,1,1,1,6,1,5,1,2,2,1,1,8,1,2,1,1,1,12
69,1,1,1,1,1,3,3,1,1,1,1,1,1,8,1,1,1,1,1,12
70,3,1,1,1,1,8,1,7,1,2,1,1,1,8,3,2,1,1,1,12
71,2,1,1,2,5,6,5,5,2,2,5,1,4,8,4,3,1,1,1,12
72,1,1,1,1,1,1,1,1,1,2,1,1,3,8,2,1,1,1,1,8
73,1,1,1,1,1,5,1,4,1,1,1,1,1,8,1,2,1,1,1,10
74,1,1,1,1,1,3,1,2,1,2,1,1,1,8,1,2,1,1,1,11
75,3,1,1,1,1,7,2,7,1,2,1,1,1,8,1,2,1,1,1,12
76,1,1,1,1,1,8,8,1,1,3,1,1,1,8,1,2,1,1,1,12
77,1,1,1,1,1,7,1,6,1,1,1,1,1,8,1,2,1,1,1,12
78,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
79,3,1,1,1,1,5,5,1,1,2,1,1,1,8,3,2,1,1,1,12
80,1,1,1,1,1,6,2,5,1,2,1,1,2,8,1,2,1,1,1,12
81,1,1,1,1,1,1,1,1,1,3,1,1,1,5,2,1,1,1,1,12
82,1,1,1,1,1,4,2,3,1,4,1,1,4,7,1,1,1,1,1,12
83,1,1,1,1,1,5,1,4,1,1,1,1,8,6,1,2,1,1,1,12
84,1,1,1,1,1,8,8,3,1,3,1,1,1,8,2,3,1,1,1,12
85,1,1,1,1,1,8,8,1,1,5,1,1,8,8,1,2,1,1,1,12
86,3,1,1,1,1,8,7,8,2,3,1,1,1,8,4,3,1,1,1,12
87,4,1,1,1,1,8,7,8,2,4,1,1,1,8,4,4,1,1,1,12
88,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
89,3,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
90,4,1,1,2,1,8,3,8,1,3,2,2,1,8,2,3,1,1,1,12
91,1,1,1,1,1,8,1,7,2,2,1,1,1,8,3,2,1,1,1,11
92,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
93,1,1,1,1,1,2,2,1,1,1,1,1,1,8,1,1,1,1,1,12
94,1,1,1,1,1,3,3,1,1,1,1,1,1,8,1,1,1,1,1,12
95,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
96,1,1,1,1,1,6,6,1,1,2,1,1,1,8,1,2,1,1,1,12
97,2,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
98,1,1,1,1,1,3,1,2,1,2,1,1,8,5,1,1,1,1,1,12
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7
100,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,9
101,1,1,1,1,1,8,1,8,1,1,1,1,1,5,1,2,1,1,1,12
102,2,1,1,1,1,8,8,7,1,2,2,1,1,8,1,4,1,1,1,12
103,1,1,1,1,1,8,1,8,1,2,1,1,1,3,1,3,1,1,1,12
104,1,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
105,2,1,1,1,1,3,3,1,1,2,1,1,1,8,3,1,1,1,1,12
106,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
107,3,1,1,1,1,1,1,1,3,3,1,1,1,8,4,1,1,1,1,12
108,1,1,1,1,1,6,2,5,1,1,1,1,1,8,2,2,1,1,1,12
109,3,1,1,1,2,8,8,8,2,3,2,1,1,8,4,4,1,1,1,12
110,1,1,1,1,1,8,3,7,1,2,1,1,1,8,1,3,1,1,1,12
111,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
112,3,1,1,1,1,8,3,8,1,3,1,1,1,8,3,4,1,1,1,12
113,3,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
114,1,1,1,1,1,6,4,3,1,2,1,1,8,8,1,2,1,1,1,12
115,1,1,1,1,1,8,5,8,1,1,1,1,1,8,1,3,1,1,1,12
116,1,1,1,1,1,5,1,5,1,2,1,1,3,7,1,2,1,1,1,12
117,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
118,1,1,1,1,1,2,1,2,1,2,1,1,8,5,1,1,1,1,1,12
119,2,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
120,4,2,1,1,1,8,8,8,1,5,1,1,1,8,3,4,1,1,1,12
121,1,1,1,1,1,3,3,1,1,3,1,1,1,8,1,2,1,1,1,12
122,1,1,1,2,1,8,1,8,1,3,1,1,1,8,1,4,1,1,1,12
123,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
124,6,1,1,1,1,1,1,1,1,6,1,1,1,8,3,1,1,1,1,12
125,2,3,3,1,1,8,8,1,1,1,2,1,1,8,1,7,2,1,1,12
126,1,1,1,1,1,1,1,1,1,1,1,1,2,7,2,1,1,1,1,8
127,2,1,1,1,1,7,2,5,1,2,1,1,1,8,1,2,1,1,1,12
128,5,1,1,1,2,1,1,1,1,5,1,1,1,8,3,1,1,1,1,12
129,1,1,1,1,1,1,1,1,1,4,1,1,1,3,2,1,1,1,1,12
130,1,1,1,1,1,3,3,1,1,2,1,1,1,5,2,2,1,1,1,12
131,2,1,1,1,1,7,3,7,1,2,1,1,1,8,1,3,1,1,1,12
132,1,1,1,1,1,5,1,5,1,1,1,1,1,7,1,2,1,1,1,12
133,4,1,1,1,3,1,1,1,2,4,2,1,1,8,4,1,1,1,1,12
134,1,1,1,1,1,8,1,8,1,2,1,1,1,8,1,2,1,1,1,12
135,1,1,1,1,1,5,2,3,1,1,1,1,1,8,1,2,1,1,1,12
136,2,1,1,2,1,8,5,8,1,5,1,1,1,8,1,4,1,1,1,12
137,1,1,1,1,1,8,3,8,1,1,1,1,1,8,3,2,1,1,1,12
138,8,4,2,5,1,8,7,8,1,5,4,2,1,8,1,7,1,2,1,12
139,1,1,1,1,1,8,8,1,1,1,1,1,1,8,2,2,1,1,1,12
140,1,1,1,1,1,3,3,2,1,1,1,1,1,8,1,1,1,1,1,12
141,1,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
142,3,1,1,1,1,1,1,1,1,2,1,1,1,8,3,1,1,1,1,12
143,5,1,1,1,1,6,4,5,1,6,1,1,1,8,1,2,1,1,1,12
144,1,1,1,1,1,8,8,8,1,2,1,1,1,8,1,5,1,1,1,12
145,2,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,12
146,1,1,1,1,1,7,1,7,1,3,1,1,1,8,1,2,1,1,1,12
147,1,1,1,1,1,1,1,1,1,3,1,1,1,8,2,1,1,1,1,12
148,1,1,1,1,1,5,3,4,1,1,1,1,1,8,1,2,1,1,1,12
149,1,1,1,1,1,7,1,7,1,4,1,1,1,8,2,2,1,1,1,12
150,4,1,1,2,1,5,1,5,1,2,1,2,1,8,2,2,1,1,1,12
151,1,1,1,1,1,8,8,8,1,2,1,1,1,8,1,3,1,1,1,12
152,1,1,1,1,1,8,1,8,1,3,1,1,8,8,1,3,1,1,1,12
153,6,2,1,3,1,8,7,8,2,6,2,1,1,8,4,7,1,1,1,12
154,1,1,1,1,1,8,5,8,1,2,1,1,6,7,1,3,1,1,1,12
155,1,1,1,1,1,3,1,3,1,6,1,1,3,5,1,1,1,1,1,12
156,3,1,1,1,1,8,8,5,1,3,1,1,1,8,4,3,1,1,1,12
157,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
158,2,2,1,1,1,8,8,6,1,3,3,1,3,8,1,4,1,1,1,12
159,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
160,2,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
161,2,1,1,1,1,1,1,1,1,3,1,1,1,8,2,1,1,1,1,12
162,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,3,1,1,1,12
163,1,1,1,1,1,3,1,2,1,2,1,1,1,8,1,1,1,1,1,12
164,1,1,1,1,1,8,1,7,1,1,1,1,5,8,1,2,1,1,1,6
165,3,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
166,1,1,1,1,1,8,1,8,1,3,1,1,1,5,1,2,1,1,1,12
167,1,1,1,1,1,8,6,7,1,4,1,1,8,8,2,3,1,1,1,12
168,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
169,1,1,1,1,1,6,4,3,1,2,1,1,1,8,1,2,1,1,1,12
170,1,1,1,1,1,1,1,1,1,2,1,1,1,7,2,1,1,1,1,9
171,1,2,2,2,1,8,8,7,2,3,2,1,7,8,4,5,1,1,1,12
172,1,1,1,1,1,3,1,2,1,4,1,1,2,5,1,1,1,1,1,12
173,1,1,1,1,1,1,1,1,1,1,1,1,2,8,3,1,1,1,1,7
174,6,1,1,1,1,8,8,8,1,4,1,1,1,8,2,4,1,1,1,12
175,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
176,1,1,1,1,1,7,7,1,1,1,1,1,1,8,3,2,1,1,1,12
177,2,1,1,1,1,1,1,1,1,1,1,1,1,8,4,1,1,1,1,12
178,1,1,1,1,1,8,4,8,1,6,1,1,8,8,1,3,1,1,1,12
179,1,1,1,1,1,4,1,4,1,2,1,1,2,6,1,1,1,1,1,12
180,1,1,1,1,1,8,3,8,1,1,1,1,1,8,1,3,1,1,1,12
181,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,12
182,2,1,1,1,3,3,1,2,2,2,3,1,2,8,4,1,1,1,1,12
183,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,12
184,1,1,1,1,1,6,4,4,1,3,1,1,1,8,1,2,1,1,1,12
185,1,1,1,1,1,7,1,7,1,1,1,1,2,8,1,2,1,1,1,12
186,1,1,1,1,1,2,1,2,1,2,1,1,1,8,3,1,1,1,1,12
187,1,1,1,1,1,8,3,8,1,1,1,1,1,8,1,3,1,1,1,12
188,1,1,1,1,1,4,4,1,1,1,1,1,1,8,2,2,1,1,1,12
189,1,1,1,1,1,3,3,1,1,1,1,1,1,8,2,2,1,1,1,12
190,1,1,1,1,1,3,3,1,1,2,1,1,1,7,1,1,1,1,1,12
191,1,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,12
192,1,1,1,1,1,1,1,1,1,2,1,1,1,5,2,1,1,1,1,12
193,3,1,1,1,1,5,1,5,1,5,1,1,1,8,1,2,1,1,1,12
194,2,1,1,1,1,5,5,1,1,2,1,1,1,8,1,2,1,1,1,12
195,3,1,1,2,1,8,2,7,1,4,1,1,1,8,1,3,1,1,1,12
196,1,1,1,2,1,7,1,6,1,3,1,1,8,8,1,3,1,1,1,12
197,1,1,1,1,1,8,8,5,1,4,1,1,5,8,1,3,1,1,1,12
198,1,1,1,1,1,2,2,1,1,3,1,1,1,8,1,1,1,1,1,12
199,3,1,1,1,1,2,1,2,1,2,1,1,1,8,4,1,1,1,1,12
200,1,1,1,1,1,2,2,1,1,7,1,1,1,6,1,1,1,1,1,12
201,1,1,1,1,1,5,2,4,1,1,1,1,1,8,3,2,1,1,1,12
202,1,1,1,1,1,7,1,7,1,2,1,1,7,8,1,2,1,1,1,12
203,4,1,1,1,1,3,2,2,1,4,1,1,1,8,2,2,1,1,1,12
204,2,2,2,1,1,8,6,8,1,2,2,1,1,8,1,5,1,1,1,12
205,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,12
206,1,1,1,1,1,2,2,1,1,1,1,1,1,8,3,1,1,1,1,12
207,4,1,1,1,1,3,3,1,2,3,1,1,1,8,3,2,1,1,1,12
208,3,1,1,1,1,7,5,6,1,4,1,1,1,8,3,3,1,1,1,12
209,1,1,1,1,1,3,1,2,1,2,1,1,2,6,1,1,1,1,1,12
210,3,1,1,1,2,8,8,2,2,3,1,1,1,8,4,2,1,1,1,12
211,2,1,1,1,1,5,5,1,1,2,1,1,1,8,1,2,1,1,1,12
212,2,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
213,1,1,1,1,1,7,7,1,1,2,1,1,1,8,1,2,1,1,1,12
214,1,1,1,1,1,3,1,2,1,2,1,1,1,7,1,1,1,1,1,12
215,1,1,1,1,1,2,1,1,1,2,1,1,1,4,1,1,1,1,1,12
216,1,1,1,1,1,8,2,8,1,1,1,1,1,8,2,3,1,1,1,12
217,1,1,1,1,1,3,1,2,1,4,1,1,1,6,1,2,1,1,1,12
218,1,1,1,1,1,5,3,3,2,1,1,1,1,8,4,2,1,1,1,12
219,2,1,1,1,1,8,8,8,1,3,1,1,1,8,2,4,1,1,1,12
220,4,2,2,2,1,8,7,8,1,3,2,1,1,8,1,6,1,1,1,12
221,2,1,1,1,1,8,8,1,1,2,1,1,1,8,1,2,1,1,1,12
222,1,1,1,1,1,2,2,1,1,1,1,1,1,8,1,1,1,1,1,7
223,3,1,1,1,1,8,8,7,1,4,1,1,1,8,1,3,1,1,1,12
224,3,2,2,1,1,3,3,1,1,3,2,1,1,8,1,1,3,1,1,12
225,1,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,12
226,2,1,1,1,1,8,4,7,1,2,1,1,1,8,1,3,1,1,1,12
227,2,1,1,1,1,7,4,7,1,3,1,1,1,8,1,3,1,1,1,12
228,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,1,1,1,1,9
229,2,2,1,4,1,7,6,5,1,6,2,1,3,8,1,3,1,2,1,12
230,1,1,1,1,1,7,3,5,1,1,1,1,1,8,1,2,1,1,1,12
231,1,1,1,2,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
232,1,1,1,1,1,8,8,1,1,2,1,1,1,8,2,2,1,1,1,12
233,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,12
234,1,1,1,1,1,7,6,7,1,1,1,1,1,8,2,3,1,1,1,12
235,2,1,1,1,1,8,8,1,1,3,1,1,1,8,1,2,1,1,1,12
236,4,1,1,1,1,5,1,4,1,4,1,1,1,8,3,2,1,1,1,12
237,2,1,1,1,1,3,1,3,1,3,1,1,1,8,2,1,1,1,1,12
238,1,1,1,1,1,5,1,4,1,2,1,1,1,6,2,2,1,1,1,12
239,1,1,1,1,1,5,2,3,1,1,1,1,1,8,1,2,1,1,1,12
240,2,1,1,1,2,3,3,1,1,2,1,1,1,8,3,1,1,1,2,12
241,1,1,1,1,1,5,1,3,1,2,1,1,8,7,1,2,2,1,1,12
242,1,1,1,1,1,8,8,8,1,3,1,1,2,8,1,5,1,1,1,12
243,1,1,1,1,1,1,1,1,1,2,1,1,1,8,1,1,1,1,1,11
244,2,1,1,1,1,8,6,8,1,1,1,1,1,8,1,3,1,1,1,12
245,1,1,1,1,1,3,1,2,1,1,1,1,2,5,1,1,1,1,1,12
246,1,1,1,1,1,8,5,7,1,4,1,1,1,8,1,3,1,1,1,12
247,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
248,5,1,1,1,3,8,1,8,1,4,2,1,1,8,3,2,1,1,1,12
249,4,1,1,1,1,8,8,5,1,4,1,1,1,8,1,5,1,1,1,12
250,1,1,1,1,1,3,3,1,1,2,1,1,1,8,3,2,1,1,1,12
251,1,1,1,1,1,8,1,8,1,1,1,1,1,8,1,2,1,1,1,12
252,1,1,1,1,1,4,1,4,1,1,1,1,3,8,1,1,1,1,1,12
253,1,1,1,1,1,8,8,1,1,4,1,1,8,8,1,2,1,1,1,12
254,3,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
255,1,1,1,1,1,3,1,3,1,1,1,1,5,5,1,1,1,1,1,11
256,1,1,1,1,1,1,1,1,1,3,1,1,1,8,1,1,1,1,1,12
257,1,1,1,1,1,7,7,4,1,3,1,1,1,8,3,3,1,1,1,12
258,3,1,1,1,1,8,1,8,1,4,1,1,1,8,1,4,1,1,1,12
259,1,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
260,1,1,1,1,1,2,2,1,1,3,1,1,1,8,1,1,2,1,1,12
261,2,1,1,1,1,8,7,8,1,2,1,1,1,8,2,5,1,1,1,12
262,1,2,1,1,1,8,7,7,1,1,1,1,1,8,2,4,1,1,1,12
263,4,2,1,2,2,8,5,7,1,3,1,1,1,8,3,4,1,1,1,6
264,1,1,1,1,1,5,1,5,1,3,1,1,1,7,1,2,1,1,1,12
265,4,1,1,2,1,8,1,8,1,2,1,2,1,8,1,2,1,1,1,12
266,1,1,1,1,1,8,5,8,1,2,1,1,1,8,1,3,1,1,1,12
267,2,1,1,1,1,8,8,1,1,2,1,1,1,8,1,2,1,1,1,12
268,1,1,1,1,1,2,2,1,1,3,1,1,1,8,1,1,1,1,1,12
269,2,2,2,1,1,8,7,3,1,3,2,1,1,8,2,3,1,1,2,12
270,1,1,1,1,1,8,8,8,1,3,1,1,8,8,2,5,1,1,1,12
271,2,1,1,1,1,2,2,1,1,2,1,1,1,8,3,1,1,1,1,12
272,1,1,1,1,1,8,5,7,1,4,1,1,7,8,1,2,1,1,1,12
273,3,6,6,3,1,8,8,8,1,4,5,1,1,8,1,5,2,1,1,12
274,3,1,1,1,3,8,1,8,1,5,2,1,1,8,3,2,1,1,1,12
275,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,12
276,1,1,1,1,1,3,3,1,1,1,1,1,1,8,2,1,1,1,1,12
277,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,1,1,1,12
278,1,1,1,1,1,7,1,6,1,3,1,1,5,8,1,2,1,1,1,12
279,1,1,1,1,1,8,2,8,1,3,1,1,1,8,2,2,1,1,1,12
280,4,1,1,1,1,5,4,3,1,4,1,1,1,8,1,2,1,1,1,12
281,1,1,1,1,1,8,1,8,1,1,1,1,1,8,2,2,1,1,1,12
282,1,1,1,1,1,5,1,4,1,3,1,1,1,8,1,2,1,1,1,12
283,1,1,1,1,1,8,3,8,1,1,1,1,1,8,1,4,1,1,1,12
284,1,1,1,1,1,1,1,1,1,1,1,1,2,8,2,1,1,1,1,12
285,2,1,1,1,2,1,1,1,2,2,1,1,1,8,4,1,1,1,1,12
286,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,1,1,1,12
287,2,1,1,1,1,5,5,1,1,2,1,1,1,8,3,2,1,1,1,12
288,1,1,1,1,1,5,5,1,1,2,1,1,5,7,1,2,1,1,1,12
289,3,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
290,1,1,1,1,1,8,8,6,1,3,1,1,8,8,1,3,1,1,1,12
291,3,1,1,1,1,4,3,2,1,2,1,1,1,8,2,2,1,1,1,12
292,2,1,1,1,1,2,2,1,1,2,1,1,1,8,1,1,1,1,1,12
293,2,1,1,1,1,1,1,1,1,2,1,1,1,8,4,1,1,1,1,12
294,1,1,1,1,1,8,1,8,1,2,1,1,3,8,1,2,1,1,1,12
295,1,1,1,2,1,7,3,7,1,1,2,1,8,8,1,3,1,1,1,12
296,1,1,1,1,1,2,2,1,1,2,1,1,1,8,3,1,1,1,1,12
297,3,1,1,1,1,1,1,1,1,4,1,1,1,8,2,1,1,1,1,12
298,2,1,1,1,1,8,8,1,1,1,1,1,1,8,1,2,1,1,1,12
299,1,1,1,1,1,6,6,1,1,1,1,1,6,8,2,2,1,1,1,12
300,2,1,1,1,1,3,3,1,1,2,1,1,1,8,2,2,1,1,1,12
301,2,1,1,1,1,8,3,8,1,3,2,1,1,8,1,3,1,1,1,12
302,2,1,1,1,1,1,1,1,1,3,2,1,1,8,2,1,1,1,1,12
303,1,1,1,1,1,5,5,3,1,1,1,1,1,7,1,2,1,1,1,12
304,4,1,1,1,2,1,1,1,1,3,1,1,1,8,3,1,1,1,1,12
305,1,1,1,1,1,8,2,8,1,2,1,1,8,8,1,3,1,1,1,12
306,1,1,1,1,1,8,5,6,1,2,1,1,6,8,1,3,1,1,1,12
307,1,1,1,1,1,8,1,8,1,1,1,1,7,8,1,2,1,1,1,12
308,1,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,11
309,1,1,1,1,1,6,2,5,1,1,1,1,1,8,1,2,1,1,1,12
310,1,1,1,1,1,8,8,1,1,4,1,1,8,8,1,2,1,1,1,12
311,1,1,1,1,1,8,8,8,1,1,1,1,1,8,3,3,1,1,1,12
312,1,1,1,2,1,8,8,8,1,2,1,1,1,8,1,4,1,1,1,12
313,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,12
314,1,1,1,1,1,1,1,1,1,2,1,1,1,8,2,1,1,1,1,12
315,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,11
316,3,1,1,1,2,1,1,1,1,2,1,1,1,8,2,1,1,1,1,7
